1.1.1.1	10737	1
1.1.1.2	15938	1
1.1.1.3	15762	1
1.1.1.3	15758	1
1.1.1.4	24341	1
1.1.1.6	13770	1
1.1.1.7	21585	1
1.1.1.8	11093	1
1.1.1.9	20434	1
1.1.1.10	17026	1
1.1.1.11	17922	1
1.1.1.12	16382	1
1.1.1.13	21357	1
1.1.1.14	10161	1
1.1.1.15	12726	1
1.1.1.16	20686	1
1.1.1.17	19662	1
1.1.1.18	16950	1
1.1.1.19	14910	1
1.1.1.20	18926	1
1.1.1.21	37964	1
1.1.1.21	12786	1
1.1.1.21	12790	1
1.1.1.21	37968	1
1.1.1.22	23597	1
1.1.1.23	20642	1
1.1.1.24	22365	1
1.1.1.25	17738	1
1.1.1.26	18230	1
1.1.1.27	23445	1
1.1.1.28	16370	1
1.1.1.29	17906	1
1.1.1.30	20522	1
1.1.1.31	17682	1
1.1.1.32	13222	1
1.1.1.33	20194	1
1.1.1.34	15990	1
1.1.1.35	22433	1
1.1.1.36	22257	1
1.1.1.37	21433	1
1.1.1.38	15642	1
1.1.1.38	12654	1
1.1.1.39	12654	1
1.1.1.40	15642	1
1.1.1.40	18254	1
1.1.1.41	23633	1
1.1.1.42	25589	1
1.1.1.42	19382	1
1.1.1.42	19630	1
1.1.1.43	16822	1
1.1.1.43	16818	1
1.1.1.44	10117	1
1.1.1.45	12890	1
1.1.1.46	17926	1
1.1.1.47	14294	1
1.1.1.47	14406	1
1.1.1.48	21297	1
1.1.1.49	15842	1
1.1.1.51	14982	1
1.1.1.51	14930	1
1.1.1.52	19586	1
1.1.1.53	22401	1
1.1.1.54	12169	1
1.1.1.55	15886	1
1.1.1.56	20054	1
1.1.1.57	15730	1
1.1.1.58	17814	1
1.1.1.59	13358	1
1.1.1.60	18846	1
1.1.1.60	18842	1
1.1.1.61	23949	1
1.1.1.62	24617	1
1.1.1.62	24613	1
1.1.1.64	14982	1
1.1.1.65	16130	1
1.1.1.66	20881	1
1.1.1.67	12085	1
1.1.1.69	23937	1
1.1.1.69	23941	1
1.1.1.71	10737	1
1.1.1.71	15938	1
1.1.1.72	23593	1
1.1.1.73	24621	1
1.1.1.75	16518	1
1.1.1.76	12185	1
1.1.1.77	23873	1
1.1.1.77	15934	1
1.1.1.78	24529	1
1.1.1.79	10993	1
1.1.1.80	21793	1
1.1.1.81	17906	1
1.1.1.81	18658	1
1.1.1.82	10825	1
1.1.1.83	18366	1
1.1.1.84	13322	1
1.1.1.85	32272	1
1.1.1.85	10893	1
1.1.1.85	25079	1
1.1.1.86	22069	1
1.1.1.86	13494	1
1.1.1.87	11901	1
1.1.1.88	14834	1
1.1.1.92	13154	1
1.1.1.92	13158	1
1.1.1.93	15210	1
1.1.1.93	16458	1
1.1.1.93	18854	1
1.1.1.94	11097	1
1.1.1.94	11093	1
1.1.1.95	12642	1
1.1.1.95	13450	1
1.1.1.96	20294	1
1.1.1.97	22341	1
1.1.1.98	15950	1
1.1.1.99	11385	1
1.1.1.101	17342	1
1.1.1.102	22641	1
1.1.1.103	33240	1
1.1.1.103	25654	1
1.1.1.103	13162	1
1.1.1.104	13602	1
1.1.1.106	23001	1
